Fiscal Year,Service,Department,Division,Position Number,Job Title,Total Salary
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-174,Fire Fighter,71730
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-175,Fire Fighter,59149
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-176,Fire Fighter,72286
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-178,Fire Fighter,71619
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-180,Fire Fighter,72608
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-181,Fire Fighter,71869
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-182,Fire Fighter,71508
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-183,Fire Fighter,72608
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-184,Fire Fighter,72230
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-186,Fire Fighter,72320
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-187,Fire Fighter,72320
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-188,Fire Fighter,72320
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-189,Fire Fighter,71869
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-190,Fire Fighter,71508
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-193,Fire Fighter,72064
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-196,Fire Fighter,72320
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-197,Fire Fighter,72608
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-198,Fire Fighter,71869
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-200,Fire Fighter,72564
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-201,Fire Fighter,59149
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-202,Fire Fighter,72064
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-204,Fire Fighter,72286
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-205,Fire Fighter,71730
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-206,Fire Fighter,59149
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-207,Fire Fighter,71887
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-208,Fire Fighter,71869
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-209,Fire Fighter,72286
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-210,Fire Fighter,71887
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-211,Fire Fighter,72286
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-212,Fire Fighter,72089
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-213,Fire Fighter,71869
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-214,Fire Fighter,72286
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-215,Fire Fighter,71730
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-216,Fire Fighter,72564
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-218,Fire Fighter,59114
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-221,Fire Fighter,72608
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-222,Fire Fighter,71730
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-223,Fire Fighter,72286
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-226,Fire Fighter,71887
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-227,Fire Fighter,72320
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-229,Fire Fighter,72564
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-230,Fire Fighter,71869
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-231,Fire Fighter,72320
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-233,Fire Fighter,71619
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-234,Fire Fighter,72286
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-235,Fire Fighter,62807
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-236,Fire Fighter,72564
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-237,Fire Fighter,71869
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-238,Fire Fighter,62807
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-239,Fire Fighter,72320
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-240,Fire Fighter,72564
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-241,Fire Fighter,72286
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-242,Fire Fighter,72286
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-243,Fire Fighter,72286
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-244,Fire Fighter,71730
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-245,Fire Fighter,62807
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-246,Fire Fighter,62807
2020,Public Safety,Fire,Headquarters & Fire Stations,F506-247,Fire Fighter,72320
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-001,Fire Lieutenant,85225
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-002,Fire Lieutenant,85743
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-003,Fire Lieutenant,85743
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-005,Fire Lieutenant,86030
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-006,Fire Lieutenant,85743
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-007,Fire Lieutenant,86075
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-008,Fire Lieutenant,85743
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-009,Fire Lieutenant,86030
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-010,Fire Lieutenant,85743
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-011,Fire Lieutenant,86030
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-012,Fire Lieutenant,85451
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-013,Fire Lieutenant,85708
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-016,Fire Lieutenant,85743
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-017,Fire Lieutenant,85708
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-018,Fire Lieutenant,85476
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-019,Fire Lieutenant,86075
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-020,Fire Lieutenant,84936
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-021,Fire Lieutenant,85743
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-022,Fire Lieutenant,85244
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-023,Fire Lieutenant,85708
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-024,Fire Lieutenant,86030
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-025,Fire Lieutenant,85708
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-027,Fire Lieutenant,84807
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-029,Fire Lieutenant,85743
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-030,Fire Lieutenant,85000
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-031,Fire Lieutenant,84936
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-032,Fire Lieutenant,85708
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-033,Fire Lieutenant,85708
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-034,Fire Lieutenant,86075
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-035,Fire Lieutenant,85743
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-036,Fire Lieutenant,86075
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-037,Fire Lieutenant,86030
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-038,Fire Lieutenant,85225
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-039,Fire Lieutenant,86075
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-040,Fire Lieutenant,85743
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-041,Fire Lieutenant,85708
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-042,Fire Lieutenant,86075
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-043,Fire Lieutenant,85644
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-044,Fire Lieutenant,85708
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-045,Fire Lieutenant,86030
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-046,Fire Lieutenant,85708
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-047,Fire Lieutenant,85708
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-048,Fire Lieutenant,85476
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-049,Fire Lieutenant,85743
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-050,Fire Lieutenant,86075
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-051,Fire Lieutenant,86030
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-052,Fire Lieutenant,85743
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-053,Fire Lieutenant,85708
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-054,Fire Lieutenant,85743
2020,Public Safety,Fire,Headquarters & Fire Stations,F505-055,Fire Lieutenant,85451
2020,Public Safety,Fire,Headquarters & Fire Stations,f505-056,Fire Lieutenant,85708
2020,Public Safety,Fire,Headquarters & Fire Stations,M297-701,Fiscal Manager/Fire,94060
2020,Public Safety,Fire,Headquarters & Fire Stations,M271-002,Payroll Analyst,60689
2020,Public Safety,Inspectional Services,Board of Zoning Appeal,C087-002,Admin Asst/Insp Svs,61945
2020,Public Safety,Inspectional Services,Board of Zoning Appeal,I247-701,Zoning Specialist,87848
2020,Public Safety,Inspectional Services,Inspection & Enforcement,I025-701,Access Analyst,27948
2020,Public Safety,Inspectional Services,Inspection & Enforcement,C087-001,Admin Asst/Insp Svs,61945
2020,Public Safety,Inspectional Services,Inspection & Enforcement,C087-003,Admin Asst/Insp Svs,61945
2020,Public Safety,Inspectional Services,Inspection & Enforcement,C087-004,Admin Asst/Insp Svs,61945
2020,Public Safety,Inspectional Services,Inspection & Enforcement,C087-005,Admin Asst/Insp Svs,61945
2020,Public Safety,Inspectional Services,Inspection & Enforcement,M308-701,Asst. Commissioner Inspec.Srvc,122481
2020,Public Safety,Inspectional Services,Inspection & Enforcement,I212-002,Building Inspector,82548
2020,Public Safety,Inspectional Services,Inspection & Enforcement,I212-003,Building Inspector,82548
2020,Public Safety,Inspectional Services,Inspection & Enforcement,I212-005,Building Inspector,82548
2020,Public Safety,Inspectional Services,Inspection & Enforcement,I212-006,Building Inspector,71671
2020,Public Safety,Inspectional Services,Inspection & Enforcement,I212-007,Building Inspector,82548
2020,Public Safety,Inspectional Services,Inspection & Enforcement,I212-008,Building Inspector,70969
2020,Public Safety,Inspectional Services,Inspection & Enforcement,I212-009,Building Inspector,82548
2020,Public Safety,Inspectional Services,Inspection & Enforcement,I219-001,Code Inspector,68002
2020,Public Safety,Inspectional Services,Inspection & Enforcement,O012-701,Commissioner/Inspectional,158123
2020,Public Safety,Inspectional Services,Inspection & Enforcement,M343-701,Commissioner/Lab Animals,73500
2020,Public Safety,Inspectional Services,Inspection & Enforcement,M086-701,Legal Counsel/Inspectiona,25625
2020,Public Safety,Inspectional Services,Inspection & Enforcement,M224-702,Manager/ISD Operations,93619
2020,Public Safety,Inspectional Services,Inspection & Enforcement,I214-001,Plumbing & Gas Inspector,82548
2020,Public Safety,Inspectional Services,Inspection & Enforcement,I214-002,Plumbing & Gas Inspector,82548
2020,Public Safety,Inspectional Services,Inspection & Enforcement,M226-701,Records Coordinator,58882
2020,Public Safety,Inspectional Services,Inspection & Enforcement,I220-002,Sanitary/Housing Inspector,64498
2020,Public Safety,Inspectional Services,Inspection & Enforcement,I220-003,Sanitary/Housing Inspector,68002
2020,Public Safety,Inspectional Services,Inspection & Enforcement,I220-007,Sanitary/Housing Inspector,62647
2020,Public Safety,Inspectional Services,Inspection & Enforcement,I120-004,Sanitary/Housing Inspector Con,68338
2020,Public Safety,Inspectional Services,Inspection & Enforcement,I120-005,Sanitary/Housing Inspector Con,68338
2020,Public Safety,Inspectional Services,Inspection & Enforcement,M245-001,Sr Building Inspector,117184
2020,Public Safety,Inspectional Services,Inspection & Enforcement,I215-001,Wire Inspector,82548
2020,Public Safety,Inspectional Services,Inspection & Enforcement,I215-002,Wire Inspector,82548
2020,Public Safety,Inspectional Services,Weights & Measures,O019-701,Sealer/Weights & Measur,97505
2020,Public Safety,License Commission,Administration,C099-004,Admin Asst/Lic/City Clerk,61945
2020,Public Safety,License Commission,Administration,C099-702,Admin Asst/Lic/City Clerk,61945
2020,Public Safety,License Commission,Administration,M006-001,Admin Asst/License,72134
2020,Public Safety,License Commission,Administration,A505-702,Asst License Investigator,41457
2020,Public Safety,License Commission,Administration,M306-701,Business Prod.Analyst Proj.,82893
2020,Public Safety,License Commission,Administration,O031-701,Chair/License Commission,154266
2020,Public Safety,Police,Patrol,P465-144,Police Officer,96781
2020,Public Safety,License Commission,Administration,A178-001,Chief Licensing Investigator,97413
2020,Public Safety,License Commission,Administration,M082-002,Exec Dir./License,133023
2020,Public Safety,License Commission,Administration,M000-001,Licensing Project Assistant,25677
2020,Public Safety,License Commission,Administration,M235-001,Office Manager/License,73421
2020,Public Safety,License Commission,Consumers' Council,M239-701,Consumer Information Specialis,54026
2020,Public Safety,License Commission,Consumers' Council,M039-701,Dir/Consumer Commission,84890
2020,Public Safety,Police,Administration,C176-016,Account Clerk,50378
2020,Public Safety,Police,Administration,M100-701,Assistant Fleet Manager,78342
2020,Public Safety,Police,Administration,C113-149,Clerk & Typist,47887
2020,Public Safety,Police,Administration,C113-154,Clerk & Typist,47887
2020,Public Safety,Police,Administration,C113-155,Clerk & Typist,47887
2020,Public Safety,Police,Administration,C117-050,Clerk/Clerical Aide,42600
2020,Public Safety,Police,Administration,M493-707,Deputy Superintendent/Pol,148223
2020,Public Safety,Police,Administration,M008-701,Fleet Manager,106137
2020,Public Safety,Police,Administration,A109-001,Motor Equipment Repairman Help,37989
2020,Public Safety,Police,Administration,S463-043,Police Lieutenant,124599
2020,Public Safety,Police,Administration,A136-701,Police Mechanic,59189
2020,Public Safety,Police,Administration,P465-003,Police Officer,91665
2020,Public Safety,Police,Administration,P465-198,Police Officer,92261
2020,Public Safety,Police,Administration,P465-273,Police Officer,92261
2020,Public Safety,Police,Administration,S464-022,Police Sergeant,108037
2020,Public Safety,Police,Administration,S464-046,Police Sergeant,108037
2020,Public Safety,Police,Administration,S464-052,Police Sergeant,108037
2020,Public Safety,Police,Administration,A496-001,Property Clerk/Armorer,55904
2020,Public Safety,Police,Administration,A496-002,Property Clerk/Armorer,55904
2020,Public Safety,Police,Administration,C092-702,Records Administrator,59722
2020,Public Safety,Police,Administration,C171-713,Sr Account Clerk,57228
2020,Public Safety,Police,Administration,C171-714,Sr Account Clerk,60021
2020,Public Safety,Police,Administration,A108-003,Student Intern/Police,31260
2020,Public Safety,Police,Administration,M492-701,Superintendent/Police,158682
2020,Public Safety,Police,Commissioner's Office,M042-001,Office Manager/Police,89851
2020,Public Safety,Police,Commissioner's Office,M479-701,Police Commissioner,236339
2020,Public Safety,Police,Commissioner's Office,P465-287,Police Officer,91069
2020,Public Safety,Police,Commissioner's Office,M087-701,Spec.Asst.City Solic/Legal,110564
2020,Public Safety,Police,Criminal Investigations,M493-701,Deputy Superintendent/Pol,148223
2020,Public Safety,Police,Criminal Investigations,M481-701,Forensic Identification Spec.,86571
2020,Public Safety,Police,Criminal Investigations,A495-701,Latent Fingerprint Examiner,68898
2020,Public Safety,Police,Criminal Investigations,S463-018,Police Lieutenant,124599
2020,Public Safety,Police,Criminal Investigations,S463-033,Police Lieutenant,128791
2020,Public Safety,Police,Criminal Investigations,P465-014,Police Officer,81064
2020,Public Safety,Police,Criminal Investigations,P465-017,Police Officer,91665
2020,Public Safety,Police,Criminal Investigations,P465-036,Police Officer,96096
2020,Public Safety,Police,Criminal Investigations,P465-043,Police Officer,92558
2020,Public Safety,Police,Criminal Investigations,P465-052,Police Officer,96781
2020,Public Safety,Police,Criminal Investigations,P465-054,Police Officer,91665
2020,Public Safety,Police,Criminal Investigations,P465-055,Police Officer,92558
2020,Public Safety,Police,Criminal Investigations,P465-076,Police Officer,96484
2020,Public Safety,Police,Criminal Investigations,P465-104,Police Officer,96781
2020,Public Safety,Police,Criminal Investigations,P465-114,Police Officer,92558
2020,Public Safety,Police,Criminal Investigations,P465-143,Police Officer,96484
2020,Public Safety,Police,Criminal Investigations,P465-173,Police Officer,92261
2020,Public Safety,Police,Criminal Investigations,P465-189,Police Officer,92261
2020,Public Safety,Police,Criminal Investigations,P465-191,Police Officer,96484
2020,Public Safety,Police,Criminal Investigations,P465-197,Police Officer,92261
2020,Public Safety,Police,Criminal Investigations,P465-200,Police Officer,96096
2020,Public Safety,Police,Criminal Investigations,P465-202,Police Officer,92261
2020,Public Safety,Police,Criminal Investigations,P465-213,Police Officer,92261
2020,Public Safety,Police,Criminal Investigations,P465-252,Police Officer,81064
2020,Public Safety,Police,Criminal Investigations,P465-259,Police Officer,96484
2020,Public Safety,Police,Criminal Investigations,P465-260,Police Officer,92558
2020,Public Safety,Police,Criminal Investigations,P465-262,Police Officer,92558
2020,Public Safety,Police,Criminal Investigations,P465-281,Police Officer,92558
2020,Public Safety,Police,Criminal Investigations,P465-289,Police Officer,95293
2020,Public Safety,Police,Criminal Investigations,S464-033,Police Sergeant,108037
2020,Public Safety,Police,Criminal Investigations,S464-034,Police Sergeant,111194
2020,Public Safety,Police,Criminal Investigations,S464-043,Police Sergeant,112241
2020,Public Safety,Police,Criminal Investigations,S464-164,Police Sergeant,108037
2020,Public Safety,Police,Criminal Investigations,C110-012,Sr Clerk & Typist,50378
2020,Public Safety,Police,Criminal Investigations,A108-001,Student Intern/Police,31260
2020,Public Safety,Police,Criminal Investigations,M164-701,Victim Advocate,73028
2020,Public Safety,Police,Family and Social Justice,M493-703,Deputy Superintendent/Pol,148223
2020,Public Safety,Police,Family and Social Justice,M484-701,Dir of Outreach & Comm. Prog.,87937
2020,Public Safety,Police,Family and Social Justice,M274-701,Dir. of Clinical Support Srvc,149906
2020,Public Safety,Police,Family and Social Justice,M337-701,Licensed Social Worker/Police,86921
2020,Public Safety,Police,Family and Social Justice,S463-040,Police Lieutenant,124599
2020,Public Safety,Police,Family and Social Justice,P465-007,Police Officer,95888
2020,Public Safety,Police,Family and Social Justice,P465-022,Police Officer,96781
2020,Public Safety,Police,Family and Social Justice,P465-040,Police Officer,96096
2020,Public Safety,Police,Family and Social Justice,P465-048,Police Officer,95888
2020,Public Safety,Police,Family and Social Justice,P465-068,Police Officer,96484
2020,Public Safety,Police,Family and Social Justice,P465-089,Police Officer,96484
2020,Public Safety,Police,Family and Social Justice,P465-112,Police Officer,95888
2020,Public Safety,Police,Family and Social Justice,P465-124,Police Officer,96096
2020,Public Safety,Police,Family and Social Justice,P465-146,Police Officer,92558
2020,Public Safety,Police,Family and Social Justice,P465-165,Police Officer,81064
2020,Public Safety,Police,Family and Social Justice,P465-169,Police Officer,91873
2020,Public Safety,Police,Family and Social Justice,P465-190,Police Officer,96096
2020,Public Safety,Police,Family and Social Justice,P465-226,Police Officer,96096
2020,Public Safety,Police,Family and Social Justice,P465-227,Police Officer,96781
2020,Public Safety,Police,Family and Social Justice,P465-240,Police Officer,91873
2020,Public Safety,Police,Family and Social Justice,P465-246,Police Officer,96781
2020,Public Safety,Police,Family and Social Justice,P465-265,Police Officer,96781
2020,Public Safety,Police,Family and Social Justice,P465-268,Police Officer,96781
2020,Public Safety,Police,Family and Social Justice,S464-009,Police Sergeant,112241
2020,Public Safety,Police,Family and Social Justice,S464-026,Police Sergeant,112241
2020,Public Safety,Police,Family and Social Justice,M346-701,Social Worker/Case Manager,72431
2020,Public Safety,Police,Patrol,M493-702,Deputy Superintendent/Pol,148223
2020,Public Safety,Police,Patrol,M493-704,Deputy Superintendent/Pol,153102
2020,Public Safety,Police,Patrol,M493-705,Deputy Superintendent/Pol,153102
2020,Public Safety,Police,Patrol,M604-701,Facility Manager/Police,105883
2020,Public Safety,Police,Patrol,S463-011,Police Lieutenant,126949
2020,Public Safety,Police,Patrol,S463-019,Police Lieutenant,126949
2020,Public Safety,Police,Patrol,S463-028,Police Lieutenant,126949
2020,Public Safety,Police,Patrol,S463-029,Police Lieutenant,128791
2020,Public Safety,Police,Patrol,S463-032,Police Lieutenant,129195
2020,Public Safety,Police,Patrol,S463-036,Police Lieutenant,126949
2020,Public Safety,Police,Patrol,S463-037,Police Lieutenant,128791
2020,Public Safety,Police,Patrol,S463-038,Police Lieutenant,128791
2020,Public Safety,Police,Patrol,S463-039,Police Lieutenant,129195
2020,Public Safety,Police,Patrol,S463-042,Police Lieutenant,128791
2020,Public Safety,Police,Patrol,P465-004,Police Officer,96096
2020,Public Safety,Police,Patrol,P465-005,Police Officer,95645
2020,Public Safety,Police,Patrol,P465-008,Police Officer,89388
2020,Public Safety,Police,Patrol,P465-009,Police Officer,89388
2020,Public Safety,Police,Patrol,P465-010,Police Officer,93835
2020,Public Safety,Police,Patrol,P465-011,Police Officer,96484
2020,Public Safety,Police,Patrol,P465-012,Police Officer,81829
2020,Public Safety,Police,Patrol,P465-026,Police Officer,96484
2020,Public Safety,Police,Patrol,P465-027,Police Officer,93627
2020,Public Safety,Police,Patrol,P465-030,Police Officer,91665
2020,Public Safety,Police,Patrol,P465-035,Police Officer,95888
2020,Public Safety,Police,Patrol,P465-037,Police Officer,96781
2020,Public Safety,Police,Patrol,P465-041,Police Officer,88340
2020,Public Safety,Police,Patrol,P465-045,Police Officer,88340
2020,Public Safety,Police,Patrol,P465-051,Police Officer,94222
2020,Public Safety,Police,Patrol,P465-057,Police Officer,96484
2020,Public Safety,Police,Patrol,P465-060,Police Officer,96219
2020,Public Safety,Police,Patrol,P465-062,Police Officer,93627
2020,Public Safety,Police,Patrol,P465-063,Police Officer,96484
2020,Public Safety,Police,Patrol,P465-065,Police Officer,96484
2020,Public Safety,Police,Patrol,P465-066,Police Officer,96781
2020,Public Safety,Police,Patrol,P465-067,Police Officer,81829
2020,Public Safety,Police,Patrol,P465-069,Police Officer,94222
2020,Public Safety,Police,Patrol,P465-072,Police Officer,96781
2020,Public Safety,Police,Patrol,P465-077,Police Officer,96096
2020,Public Safety,Police,Patrol,P465-079,Police Officer,80881
2020,Public Safety,Police,Patrol,P465-080,Police Officer,96781
2020,Public Safety,Police,Patrol,P465-081,Police Officer,96484
2020,Public Safety,Police,Patrol,P465-082,Police Officer,96096
2020,Public Safety,Police,Patrol,P465-083,Police Officer,93627
2020,Public Safety,Police,Patrol,P465-084,Police Officer,96781
2020,Public Safety,Police,Patrol,P465-085,Police Officer,81355
2020,Public Safety,Police,Patrol,P465-086,Police Officer,81355
2020,Public Safety,Police,Patrol,P465-090,Police Officer,94520
2020,Public Safety,Police,Patrol,P465-094,Police Officer,93835
2020,Public Safety,Police,Patrol,P465-095,Police Officer,96096
2020,Public Safety,Police,Patrol,P465-097,Police Officer,82066
2020,Public Safety,Police,Patrol,P465-099,Police Officer,93835
2020,Public Safety,Police,Patrol,P465-100,Police Officer,96781
2020,Public Safety,Police,Patrol,P465-101,Police Officer,95072
2020,Public Safety,Police,Patrol,P465-108,Police Officer,95293
2020,Public Safety,Police,Patrol,P465-110,Police Officer,96484
2020,Public Safety,Police,Patrol,P465-111,Police Officer,96781
2020,Public Safety,Police,Patrol,P465-113,Police Officer,94222
2020,Public Safety,Police,Patrol,P465-115,Police Officer,93835
2020,Public Safety,Police,Patrol,P465-116,Police Officer,96781
2020,Public Safety,Police,Patrol,P465-117,Police Officer,96781
2020,Public Safety,Police,Patrol,P465-120,Police Officer,94222
2020,Public Safety,Police,Patrol,P465-121,Police Officer,96096
2020,Public Safety,Police,Patrol,P465-122,Police Officer,93031
2020,Public Safety,Police,Patrol,P465-125,Police Officer,96219
2020,Public Safety,Police,Patrol,P465-127,Police Officer,96484
2020,Public Safety,Police,Patrol,P465-128,Police Officer,96219
2020,Public Safety,Police,Patrol,P465-131,Police Officer,96484
2020,Public Safety,Police,Patrol,P465-133,Police Officer,96484
2020,Public Safety,Police,Patrol,P465-134,Police Officer,89388
2020,Public Safety,Police,Patrol,P465-145,Police Officer,96781
2020,Public Safety,Police,Patrol,P465-147,Police Officer,96506
2020,Public Safety,Police,Patrol,P465-148,Police Officer,96096
2020,Public Safety,Police,Patrol,P465-149,Police Officer,95072
2020,Public Safety,Police,Patrol,P465-150,Police Officer,80881
2020,Public Safety,Police,Patrol,P465-153,Police Officer,96219
2020,Public Safety,Police,Patrol,P465-154,Police Officer,96484
2020,Public Safety,Police,Patrol,P465-155,Police Officer,94222
2020,Public Safety,Police,Patrol,P465-156,Police Officer,93835
2020,Public Safety,Police,Patrol,P465-157,Police Officer,81829
2020,Public Safety,Police,Patrol,P465-158,Police Officer,95888
2020,Public Safety,Police,Patrol,P465-159,Police Officer,52976
2020,Public Safety,Police,Patrol,P465-166,Police Officer,94520
2020,Public Safety,Police,Patrol,P465-167,Police Officer,89388
2020,Public Safety,Police,Patrol,P465-168,Police Officer,96781
2020,Public Safety,Police,Patrol,P465-170,Police Officer,96781
2020,Public Safety,Police,Patrol,P465-171,Police Officer,96484
2020,Public Safety,Police,Patrol,P465-172,Police Officer,94520
2020,Public Safety,Police,Patrol,P465-175,Police Officer,52976
2020,Public Safety,Police,Patrol,P465-177,Police Officer,93627
2020,Public Safety,Police,Patrol,P465-178,Police Officer,95888
2020,Public Safety,Police,Patrol,P465-179,Police Officer,96484
2020,Public Safety,Police,Patrol,P465-180,Police Officer,95888
2020,Public Safety,Police,Patrol,P465-182,Police Officer,81064
2020,Public Safety,Police,Patrol,P465-183,Police Officer,94222
2020,Public Safety,Police,Patrol,P465-185,Police Officer,95072
2020,Public Safety,Police,Patrol,P465-188,Police Officer,96219
2020,Public Safety,Police,Patrol,P465-194,Police Officer,93031
2020,Public Safety,Police,Patrol,P465-195,Police Officer,89388
2020,Public Safety,Police,Patrol,P465-196,Police Officer,96781
2020,Public Safety,Police,Patrol,P465-205,Police Officer,95293
2020,Public Safety,Police,Patrol,P465-206,Police Officer,94222
2020,Public Safety,Police,Patrol,P465-209,Police Officer,52976
2020,Public Safety,Police,Patrol,P465-210,Police Officer,96219
2020,Public Safety,Police,Patrol,P465-211,Police Officer,95072
2020,Public Safety,Police,Patrol,P465-215,Police Officer,80881
2020,Public Safety,Police,Patrol,P465-220,Police Officer,94244
2020,Public Safety,Police,Patrol,P465-221,Police Officer,94222
2020,Public Safety,Police,Patrol,P465-222,Police Officer,52976
2020,Public Safety,Police,Patrol,P465-223,Police Officer,96096
2020,Public Safety,Police,Patrol,P465-225,Police Officer,96506
2020,Public Safety,Police,Patrol,P465-228,Police Officer,96484
2020,Public Safety,Police,Patrol,P465-231,Police Officer,94520
2020,Public Safety,Police,Patrol,P465-232,Police Officer,95072
2020,Public Safety,Police,Patrol,P465-233,Police Officer,89388
2020,Public Safety,Police,Patrol,P465-234,Police Officer,96484
2020,Public Safety,Police,Patrol,P465-237,Police Officer,95293
2020,Public Safety,Police,Patrol,P465-241,Police Officer,96484
2020,Public Safety,Police,Patrol,P465-242,Police Officer,96484
2020,Public Safety,Police,Patrol,P465-243,Police Officer,96781
2020,Public Safety,Police,Patrol,P465-244,Police Officer,96781
2020,Public Safety,Police,Patrol,P465-245,Police Officer,96781
2020,Public Safety,Police,Patrol,P465-250,Police Officer,96096
2020,Public Safety,Police,Patrol,P465-251,Police Officer,96484
2020,Public Safety,Police,Patrol,P465-253,Police Officer,95293
2020,Public Safety,Police,Patrol,P465-254,Police Officer,81829
